=== RELATÓRIO ===
Inicio Teste: 2025-11-28 10:32:00.793355

img_CGNE_sinal_3_30x30.csv_python.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:04, Fim: 2025-11-28 10:32:38, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 33.672682762145996 s, Tempo Req Total: 35.7549 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_3_30x30.csv_python.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:04, Fim: 2025-11-28 10:32:38, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 33.86785387992859 s, Tempo Req Total: 35.9185 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_1_30x30.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:01, Fim: 2025-11-28 10:32:43, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 42.424453 s, Tempo Req Total: 42.4853 s, Modelo: H_30x30.csv, Sinal: sinal_1_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_1_60x60.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:00, Fim: 2025-11-28 10:32:43, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 42.6526143 s, Tempo Req Total: 42.7622 s, Modelo: H_60x60.csv, Sinal: sinal_1_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_1_60x60.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:00, Fim: 2025-11-28 10:32:43, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 42.6526619 s, Tempo Req Total: 42.7552 s, Modelo: H_60x60.csv, Sinal: sinal_1_60x60.csv, Ganho: Dinâmico
img_CGNE_sinal_1_30x30.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:01, Fim: 2025-11-28 10:32:43, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 42.4272642 s, Tempo Req Total: 42.4953 s, Modelo: H_30x30.csv, Sinal: sinal_1_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_3_30x30.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:43, Fim: 2025-11-28 10:32:46, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 3.1441757 s, Tempo Req Total: 44.9776 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_2_30x30.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:43, Fim: 2025-11-28 10:32:46, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 3.2786575 s, Tempo Req Total: 45.3225 s, Modelo: H_30x30.csv, Sinal: sinal_2_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_2_30x30.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:43, Fim: 2025-11-28 10:32:47, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 3.5118377 s, Tempo Req Total: 45.5473 s, Modelo: H_30x30.csv, Sinal: sinal_2_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_3_30x30.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:43, Fim: 2025-11-28 10:32:47, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 3.5586275 s, Tempo Req Total: 45.3805 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
